[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 610.233, rho: 0 , theta: 197.733, floral[k]: 0.464287, zeta[i]: -10.3536, eps[k]: -118.321, lambda: -inf 
Chain 1 dis: 570.556, rho: 0 , theta: 197.733, floral[k]: -0.663781, zeta[i]: -10.3536, eps[k]: 20.4239, lambda: -inf 
Chain 1 dis: 538.455, rho: 0 , theta: 197.733, floral[k]: 0.936751, zeta[i]: -10.3536, eps[k]: -324.922, lambda: -inf 
Chain 1 dis: 536.222, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: -7.72905, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 467.465, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: -7.72905, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 400.954, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: -7.72905, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 338.015, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: -7.72905, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 281.059, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: -7.72905, eps[k]: 98.5783, lambda: -inf 
Chain 1 dis: 568.458, rho: 0 , theta: 197.733, floral[k]: 0.34103, zeta[i]: -7.72905, eps[k]: -312.587, lambda: -inf 
Chain 1 dis: 504.118, rho: 0 , theta: 197.733, floral[k]: -0.989519, zeta[i]: -7.72905, eps[k]: -18.6779, lambda: -inf 
Chain 1 dis: 443.142, rho: 0 , theta: 197.733, floral[k]: 1.18965, zeta[i]: -7.72905, eps[k]: -539.189, lambda: -inf 
Chain 1 dis: 387.124, rho: 0 , theta: 197.733, floral[k]: 1.04431, zeta[i]: -7.72905, eps[k]: -410.836, lambda: -inf 
Chain 1 dis: 338.534, rho: 0 , theta: 197.733, floral[k]: -0.509924, zeta[i]: -7.72905, eps[k]: -839.767, lambda: -inf 
Chain 1 dis: 608.281, rho: 0 , theta: 197.733, floral[k]: 1.07972, zeta[i]: -7.72905, eps[k]: -65.4072, lambda: -inf 
Chain 1 dis: 548.631, rho: 0 , theta: 197.733, floral[k]: 0.877506, zeta[i]: -7.72905, eps[k]: 46.9255, lambda: -inf 
Chain 1 dis: 493.189, rho: 0 , theta: 197.733, floral[k]: -0.528865, zeta[i]: -7.72905, eps[k]: -155.019, lambda: -inf 
Chain 1 dis: 443.538, rho: 0 , theta: 197.733, floral[k]: -0.693816, zeta[i]: -7.72905, eps[k]: -263.408, lambda: -inf 
Chain 1 dis: 401.829, rho: 0 , theta: 197.733, floral[k]: 0.958341, zeta[i]: -7.72905, eps[k]: -221.843, lambda: -inf 
Chain 1 dis: 654.306, rho: 0 , theta: 197.733, floral[k]: 0.0841977, zeta[i]: -7.72905, eps[k]: -1024.52, lambda: -inf 
Chain 1 dis: 599.255, rho: 0 , theta: 197.733, floral[k]: 1.32583, zeta[i]: -7.72905, eps[k]: -514.016, lambda: -inf 
Chain 1 dis: 548.951, rho: 0 , theta: 197.733, floral[k]: 0.644807, zeta[i]: -7.72905, eps[k]: -788.671, lambda: -inf 
Chain 1 dis: 504.814, rho: 0 , theta: 197.733, floral[k]: -0.054427, zeta[i]: -7.72905, eps[k]: -52.259, lambda: -inf 
Chain 1 dis: 468.591, rho: 0 , theta: 197.733, floral[k]: -1.19589, zeta[i]: -7.72905, eps[k]: -43.0436, lambda: -inf 
Chain 1 dis: 705.321, rho: 0 , theta: 197.733, floral[k]: 1.91243, zeta[i]: -7.72905, eps[k]: -52.7396, lambda: -inf 
Chain 1 dis: 654.574, rho: 0 , theta: 197.733, floral[k]: 1.25655, zeta[i]: -7.72905, eps[k]: -183.938, lambda: -inf 
